出来る, 死ぬ(0.84), 随意(0.83), 若い(0.80), 気がつく(0.80), 無い(0.80), 届く(0.79), 意地(0.79), 幸福(0.79), 極める(0.79), 多い(0.78), 機嫌(0.78), る(0.77), 曖昧(0.77), 人望(0.77), 借りる(0.77), 分かる(0.77), 真似る(0.77), 碌(0.77), 姓名(0.77), 及ぼす(0.77), あきらめる(0.76), 手際(0.76), 他人(0.76), 身の上(0.76), いろいろ(0.76), なれる(0.76), 凝る(0.76), あいつ(0.76), 恐れる(0.76), 一体(0.76),
軍, 弾丸(0.94), 弾(0.93), 北側(0.92), 空(0.91), 鮑(0.91), 降る(0.91), 乗じる(0.91), 擂粉木(0.90), 春(0.90), 願(0.90), 照らす(0.90), 原稿(0.90), 杉(0.90), 針(0.90), 貝(0.90), 戸棚(0.89), 女子(0.89), 境(0.89), 依る(0.89), 薄い(0.89), 板の間(0.89), 一時(0.89), 縮める(0.89), 傾く(0.89), 死骸(0.89), 可(0.89), 四つ(0.89), 椀(0.89), 檜(0.88), 居(0.88),
仏, 学生(0.93), 隠す(0.92), 下品(0.92), 蛙(0.92), 笑い(0.92), 日本語(0.92), つまらない(0.92), 下す(0.91), 洩らす(0.91), 見番(0.91), 詞(0.91), 仕合せ(0.91), いま(0.91), じゅう(0.91), まう(0.91), 紐(0.91), 防(0.91), 来たす(0.91), 稽古(0.91), 御礼(0.91), 負け(0.91), 弁解(0.90), 不人情(0.90), 秘密(0.90), 革命(0.90), かう(0.90), 何とか(0.90), 始末(0.90), 実験(0.90), 衰弱(0.90),
取り出す, 恭しい(0.94), 括る(0.93), 命ずる(0.93), 入口(0.92), 巻煙草(0.92), 天井(0.92), 屋根(0.92), 座(0.92), 火鉢(0.91), かえる(0.91), 息(0.91), 勝手口(0.90), ふる(0.90), 曲る(0.90), 動静(0.90), 拍子(0.90), 縮緬(0.90), 抛り出す(0.90), 皇(0.90), 橋(0.89), あげる(0.89), 越し(0.89), 食卓(0.89), たぎる(0.89), 天気(0.89), 通り抜ける(0.89), 針箱(0.89), 原稿(0.89), 煙管(0.89), 細長い(0.89),
石塔, つづら(0.94), 院(0.93), 冷たい(0.93), 寄せる(0.93), 枕(0.93), 看板(0.93), ふかす(0.93), 草履(0.93), 箒(0.93), 女学生(0.93), 立ち上がる(0.93), 淋しい(0.93), 境(0.93), 立て(0.93), 子供(0.93), どく(0.92), はずす(0.92), むく(0.92), まり(0.92), 隠居(0.92), 冬(0.92), 鰹節(0.92), 剣呑(0.92), 包む(0.92), 毎晩(0.92), 携える(0.92), 用意(0.92), 晩餐(0.92), 度目(0.92), 勝手次第(0.92),
黒, 車屋(0.78), 額(0.77), 上げる(0.77), 中心(0.77), 畠(0.76), 袴(0.76), 木綿(0.76), もぐり込む(0.76), 陣取る(0.76), 越し(0.76), こする(0.75), 追う(0.75), その後(0.75), 前足(0.74), 燃える(0.74), 縮緬(0.74), 机(0.74), 下手(0.74), 櫃(0.74), 分ける(0.74), 蓋(0.74), 玉(0.74), 正面(0.74), 敷居(0.73), 奇麗(0.73), 模様(0.73), 延ばす(0.73), 波(0.73), 皮膚(0.73), 膝(0.73),
軒, 斤(0.95), 御両人(0.95), 度目(0.95), 胴(0.94), 人前(0.94), 切(0.94), 包む(0.94), 牛肉(0.93), 高(0.93), 昼(0.93), 答(0.93), 寿命(0.92), 労(0.92), 丁(0.92), 両方(0.92), 渋柿(0.92), 用意(0.92), 根本(0.92), 欠く(0.92), 孔子(0.92), 土地(0.92), 慾(0.92), 隠居(0.92), 週間(0.92), 疲れる(0.92), 代表(0.92), 摩擦(0.92), 斑(0.92), 女郎(0.92), 両足(0.92),
ぶる, 燃える(0.92), 入り(0.92), 響く(0.91), 肌(0.91), ぼる(0.91), 攫む(0.91), 襟(0.91), やく(0.90), もぐり込む(0.90), 失う(0.90), かえる(0.90), 通り過ぎる(0.90), 転がる(0.90), 裡(0.90), 板の間(0.90), 吐き出す(0.90), 曲る(0.90), 釜(0.90), 朝日(0.90), くるむ(0.90), 縮緬(0.90), 咽喉(0.89), 鼻毛(0.89), 具合(0.89), 膏(0.89), 敷居(0.89), 橋(0.89), 粒(0.89), 格子(0.89), 椀(0.89),
ステッキ, 携える(0.89), 取り上げる(0.88), 日曜(0.88), おやじ(0.88), からだ(0.88), 怒鳴る(0.88), 冷たい(0.87), 戻る(0.87), 塀(0.86), 提灯(0.86), 後ろ(0.86), 着く(0.86), 髭(0.86), 雑巾(0.86), 端書(0.86), 地蔵(0.86), 枕元(0.85), 間違う(0.85), 夕べ(0.85), 剣呑(0.85), 最中(0.85), 茶の間(0.85), 被る(0.85), ぶら下がる(0.85), 入口(0.85), 片手(0.85), 静か(0.85), わたし(0.85), 下駄(0.85), 元禄(0.85),
逆上, ベースボール(0.87), 少ない(0.86), 程度(0.85), すべて(0.85), これら(0.84), 与える(0.84), 疑る(0.84), 属(0.84), 社会(0.83), インスピレーション(0.83), 手段(0.83), 目的(0.83), 傷(0.83), 学者(0.83), 我儘(0.83), 世間(0.82), 断言(0.82), 明(0.82), 自由(0.82), 個性(0.82), 一般(0.82), 以外(0.82), 証明(0.82), 文明(0.82), 器械(0.82), 彼等(0.81), 言語(0.81), 性質(0.81), 状態(0.81), 運動(0.81),
老人, 状(0.93), 意気(0.93), 服(0.91), ふかす(0.91), 間際(0.91), 講義(0.91), 途端(0.90), 鷲(0.90), 本来(0.90), ならぶ(0.90), 杉原(0.89), 碁盤(0.89), 末(0.89), 草履(0.89), 伝(0.89), 大頭(0.89), 傍聴(0.89), 旅順(0.89), 度胸(0.89), 赤裸(0.89), 立ち上がる(0.89), 老(0.89), 船(0.89), 肌(0.89), つまる(0.89), 案内(0.89), 猛烈(0.89), 淋しい(0.89), 外(0.89), 曲る(0.89),
他, 拾う(0.90), 一疋(0.89), ダムダム弾(0.89), 属(0.89), 疑る(0.88), 近い(0.88), 十分(0.88), 抜く(0.88), 簡便(0.88), 天(0.87), 直線(0.87), 見出す(0.87), たる(0.86), 庸(0.86), 勝つ(0.86), なくなる(0.86), 訴える(0.85), 団体(0.85), 進化(0.85), 法(0.85), 収める(0.85), 行為(0.85), 要する(0.85), 平等(0.85), 吾(0.85), 貴重(0.85), 大地(0.84), 米(0.84), 衣服(0.84), 曰く(0.84),
おいで, 唸る(0.90), おりる(0.89), 何とか(0.88), 主(0.88), 剣突(0.87), 帰り(0.87), 日曜(0.87), 小さい(0.87), 診察(0.87), さま(0.87), ばってん(0.87), 遊び(0.87), 裸(0.86), 向き直る(0.86), 牡丹餅(0.86), 牧山(0.86), 梅(0.86), ついで(0.86), 散歩(0.86), 出掛ける(0.86), 冷たい(0.86), 室(0.86), うるさい(0.86), 蒲鉾(0.85), 仕合せ(0.85), ○(0.85), 義理(0.85), 逸話(0.85), 玄関(0.85), 実験(0.85),
はねる, ばい(0.94), 使える(0.93), 包む(0.93), 冬(0.92), 明日(0.92), とれる(0.92), 留まる(0.92), 相(0.92), 毎晩(0.91), 胴(0.91), 見受ける(0.91), 都合(0.91), 番(0.91), ひどい(0.91), 看板(0.91), 太(0.91), 命ずる(0.90), 懐(0.90), 間違える(0.90), 字(0.90), 子供(0.90), 活版(0.90), 維新(0.90), 因果(0.90), 引きずる(0.90), 余計(0.90), 鰹節(0.90), 疲れる(0.90), かた(0.90), 前後(0.90),
歓迎, 手出し(0.91), 断定(0.90), 天地(0.90), 抵抗(0.89), 淑女(0.88), 鑑定(0.88), 他人(0.88), 同一(0.88), 換言(0.88), いま(0.88), 利益(0.88), 騒動(0.88), 兼ねる(0.88), 害(0.87), 判断(0.87), 本来(0.87), 妨害(0.87), 明(0.87), 敬服(0.87), 華族(0.87), 露見(0.87), 生長(0.87), 怪しい(0.87), 釣(0.87), 外国(0.87), 手際(0.87), 不愉快(0.87), 珍重(0.87), 仮定(0.87), 命令(0.87),
付, 気味(0.85), 答える(0.83), 様子(0.81), 一流(0.80), 冷淡(0.80), 質問(0.80), 薬缶(0.80), 同意(0.80), 向き直る(0.80), 蔭(0.79), 悪寒(0.79), 出(0.79), 請求(0.79), 合図(0.79), 沈黙(0.79), 糸瓜(0.79), 上品(0.79), 恐い(0.78), 窮(0.78), 笑(0.78), 捲く(0.78), 辟易(0.78), 断念(0.78), 秘密(0.78), 偏屈(0.78), 納得(0.78), 伝染(0.78), 重たい(0.78), 廃(0.78), 極り(0.78),
破る, 愚物(0.93), 叶う(0.93), 何事(0.92), 幾分(0.92), 栄(0.92), 有様(0.92), 度胸(0.92), 金縁(0.92), 電気(0.91), 途中(0.91), 騒々しい(0.91), あぶない(0.91), 怒り(0.91), 伝(0.91), しめる(0.91), 意義(0.91), 意気(0.91), この世(0.90), 疱瘡(0.90), 疑う(0.90), 碁盤(0.90), 不道徳(0.90), 出直す(0.90), 転じる(0.90), 換言(0.90), 糞(0.90), 似合(0.90), 尽きる(0.90), 服(0.90), 通じる(0.90),
仙, 八木(0.84), 独(0.82), 説(0.77), 寒月(0.76), 藤十郎(0.73), 鎖(0.72), 大(0.72), 東風(0.72), 議論(0.72), 進行(0.70), 本当(0.70), 道楽(0.70), 依頼(0.70), 床の間(0.70), 捧げる(0.70), 山羊(0.70), 論文(0.69), ついで(0.69), おい(0.69), 鈴木(0.69), 覚える(0.68), 述べる(0.68), うるさい(0.68), 調子(0.68), あした(0.68), 呑気(0.68), 押す(0.67), 評(0.67), 首縊り(0.67), たまえ(0.67),
発明, 応用(0.91), 直線(0.90), 条件(0.90), 個性(0.90), 全能(0.90), なす(0.89), 真理(0.89), 積む(0.88), 相当(0.88), 十分(0.88), 猿股(0.88), 差(0.88), 皆(0.88), 青年(0.88), 遊戯(0.88), 程度(0.87), 平等(0.87), 果(0.87), 折れる(0.87), 紳士(0.87), 社会(0.87), 費やす(0.87), 因(0.86), 団体(0.86), 区別(0.86), 液(0.86), 長物(0.86), 比較(0.86), 競争(0.86), 案出(0.86),
代, 王様(0.92), 借る(0.91), 去年(0.91), 価(0.91), 食わせる(0.90), そいつ(0.90), たべる(0.90), おくれる(0.90), 減る(0.90), 暮(0.89), 今頃(0.89), 車夫(0.89), 時候(0.89), いくら(0.89), 工夫(0.88), 通(0.88), 女の子(0.88), くべる(0.87), 子供(0.87), 樽(0.87), 代目(0.86), 威張る(0.86), 廿(0.86), ひどい(0.86), 晩(0.86), 民(0.86), 生意気(0.86), 胃(0.86), 焚く(0.86), 文(0.86),
潰す, くらい(0.94), つくる(0.94), 眼前(0.94), 踊る(0.94), 何事(0.94), 変り(0.94), 意義(0.94), 汝(0.94), 業(0.93), 騒々しい(0.93), 愚物(0.93), 怪(0.93), 張り(0.93), 煩悶(0.93), かかわる(0.93), 訴える(0.93), 音楽(0.93), 不道徳(0.93), 当り前(0.93), 小僧(0.93), はずす(0.93), 珍重(0.93), 瘋癲(0.93), 弓(0.93), 怒り(0.93), シャンパン(0.93), 組(0.93), 頭巾(0.93), 尽きる(0.92), しめる(0.92),
能う, 試し(0.97), 芝居(0.96), 変り(0.96), 鳴き声(0.96), 横風(0.96), 釣れる(0.96), 造る(0.95), やれる(0.95), 簡単(0.95), 負け(0.95), 落第(0.95), 友達(0.95), 一体(0.94), ちまう(0.94), 不人情(0.94), 直る(0.94), 差し出す(0.94), ばってん(0.94), 我々(0.94), 気分(0.94), 器用(0.94), 訳す(0.94), 叔父さん(0.94), 電話(0.94), 衰弱(0.94), 出直す(0.94), 杉原(0.94), 呑む(0.94), 恥ずかしい(0.94), 心中(0.94),
乗じる, ふる(0.95), 居(0.95), 通り過ぎる(0.95), 傾く(0.94), くるむ(0.94), 立て(0.94), 枕(0.94), 弾(0.94), 願(0.94), 頭蓋骨(0.94), 縮める(0.94), 北側(0.94), 椀(0.94), 園(0.94), 降る(0.93), 照らす(0.93), 薄い(0.93), 奏す(0.93), 行儀(0.93), 細長い(0.93), まり(0.93), 杉(0.93), やく(0.93), 拍子(0.93), こする(0.93), 赤(0.93), 吸う(0.93), 鮑(0.93), 吐き出す(0.93), ランプ(0.93),
通じる, 野暮(0.97), 電気(0.96), 変り(0.96), 欠伸(0.96), 一体(0.96), 訳す(0.96), 騒々しい(0.96), 負け(0.95), 身の上(0.95), 無頓着(0.95), 器用(0.95), 鉄砲(0.95), 心中(0.95), 人情(0.95), 話頭(0.95), いい加減(0.95), 済む(0.95), 牡蠣(0.95), 変人(0.95), 出直す(0.95), 情けない(0.95), 道理(0.95), 気に入る(0.95), 人望(0.95), 守る(0.95), 沈黙(0.94), まう(0.94), 何事(0.94), 肥る(0.94), 簡単(0.94),
嫌う, 淑女(0.96), 愚物(0.94), 口調(0.94), つき(0.94), 役に立つ(0.94), 本来(0.94), 化(0.93), 体面(0.93), 誇る(0.93), 写す(0.93), 裏口(0.93), あぶない(0.93), 差支える(0.93), 道理(0.93), 侮辱(0.93), 格言(0.93), 動作(0.93), 同類(0.93), 一体(0.93), 話頭(0.93), 特別(0.93), 手出し(0.93), 相互(0.93), 根気(0.93), 換言(0.93), 利害(0.93), 守る(0.93), 困却(0.93), 恥ずかしい(0.93), 職業(0.93),
野蛮, 侮辱(0.94), 完全(0.94), 淑女(0.94), 傾向(0.94), 御上(0.94), 権力(0.94), 同一(0.93), 大切(0.93), 観念(0.93), 瘋癲(0.93), 魚(0.93), 格別(0.93), 長範(0.93), 苦しみ(0.93), 根気(0.92), 窮屈(0.92), 芸(0.92), 日本人(0.92), 名づける(0.92), 利益(0.92), 格言(0.92), 男子(0.92), つくる(0.92), 断定(0.92), 露見(0.92), 古人(0.92), 曲(0.92), 崩す(0.92), 死(0.92), 騒々しい(0.92),
嫌い, 取れる(0.91), 世話(0.90), 嫌(0.89), 近松(0.88), 恐れる(0.88), 信用(0.88), ありがたい(0.87), そん(0.87), よす(0.87), 正直(0.87), 日本人(0.87), 利口(0.87), どっち(0.86), 義理(0.86), せい(0.86), 奢る(0.86), 届く(0.86), 某(0.86), 凄い(0.86), 文学(0.86), 借る(0.86), 休む(0.86), 友達(0.86), 好き(0.86), 身の上(0.86), あいつ(0.86), 道楽(0.85), 女性(0.85), おくれる(0.85), 弱い(0.85),
立て, 裾(0.95), 通り過ぎる(0.95), どく(0.95), むく(0.95), まり(0.95), 屋根(0.94), 乗じる(0.94), 鋭い(0.94), 庚申山(0.94), 細長い(0.94), つづら(0.94), 傾く(0.93), だらけ(0.93), 距離(0.93), くるむ(0.93), 椎茸(0.93), 化粧(0.93), 渡る(0.93), 赤(0.93), ふかす(0.93), 夜具(0.93), 御両人(0.93), 義経(0.93), 枕(0.93), 格子(0.93), 慾(0.93), 秋(0.93), フロック(0.93), かたまる(0.93), 淋しい(0.93),
立つ, 坐る(0.87), 懐手(0.87), 手持無沙汰(0.85), 恭しい(0.84), 無言(0.83), まま(0.82), 握る(0.81), 巻煙草(0.81), 枕元(0.81), 勝手次第(0.81), 被る(0.81), 着く(0.81), 動静(0.81), 並ぶ(0.80), 這う(0.80), ふかす(0.80), 睨める(0.80), 枕(0.80), 縮緬(0.80), 浮く(0.79), 蓋(0.79), 一心不乱(0.79), 考え込む(0.79), 山羊(0.79), まつ(0.79), 原稿(0.78), 石塔(0.78), 合う(0.78), 今夜(0.78), 抛り出す(0.78),
立ち, 煩悶(0.96), 込める(0.95), まり(0.95), 失う(0.95), 溝(0.95), 頭巾(0.95), 眼前(0.95), こする(0.95), 倒れる(0.95), 択ぶ(0.94), 初め(0.94), 棄てる(0.94), 同族(0.94), 長火鉢(0.94), 行動(0.94), 意義(0.94), 拍子(0.94), 多勢(0.94), 叶う(0.94), 差別(0.94), 怒り(0.94), くるむ(0.94), 燃える(0.94), 一心不乱(0.93), 立ち上がる(0.93), 甕(0.93), 代る(0.93), 細長い(0.93), 靴(0.93), 太陽(0.93),
廻, 煩悶(0.94), 公(0.92), 棄てる(0.92), 行動(0.92), 光線(0.92), 立ち(0.92), 甕(0.92), 失う(0.92), 抑える(0.91), 順序(0.91), 好い加減(0.91), こする(0.91), 敷居(0.91), 現今(0.91), もぐり込む(0.91), 込める(0.91), 燃える(0.91), 太陽(0.90), 乗せる(0.90), 載せる(0.90), かかわる(0.90), 塵(0.90), 頭巾(0.90), 不便(0.90), 道具(0.90), 櫃(0.90), ひそか(0.90), 傾ける(0.90), 挙げる(0.90), 叶う(0.90),
病気, 欲しい(0.86), 弱い(0.85), 産婆(0.84), 薬(0.83), 諸君(0.83), 容易(0.83), 苦しみ(0.83), 日本人(0.82), 苦しい(0.82), 悲しい(0.82), 迷惑(0.82), 吹聴(0.82), 放蕩(0.82), 勉強(0.82), 油断(0.82), 詩人(0.82), いろいろ(0.81), 自殺(0.81), 罹る(0.81), 斑(0.81), 降参(0.81), 犬(0.81), 若い(0.81), 不愉快(0.81), 好く(0.81), 衰弱(0.81), 仲間(0.81), 所作(0.81), ありがたい(0.80), 侮辱(0.80),
甘干し, 柿(0.98), もぐる(0.93), 箒(0.93), つづら(0.92), 床(0.92), 石鹸(0.92), 宿(0.92), 路(0.92), 通り過ぎる(0.92), 裾(0.92), 抱える(0.92), 草履(0.92), 立て(0.92), 椎茸(0.91), かくす(0.91), 見廻す(0.91), 粒(0.91), 晩餐(0.91), 庚申山(0.91), 吶喊(0.91), 格子(0.91), 社(0.91), まり(0.91), 表(0.90), 淋しい(0.90), 沢庵(0.90), 案(0.90), はたき(0.90), 平手(0.90), 急ぐ(0.90),
廿, 月賦(0.96), 亭主(0.95), 月給(0.95), 毎月(0.94), ばい(0.94), 切(0.94), 全快(0.94), 以前(0.93), 界(0.93), 費やす(0.93), 食わせる(0.92), 差(0.92), 隠居(0.92), 工夫(0.92), たべる(0.92), 減る(0.92), 高(0.92), 女郎(0.92), 代目(0.92), 生意気(0.92), 行(0.91), 明治(0.91), 維新(0.91), ひどい(0.91), 院(0.91), くべる(0.91), 専門(0.91), そいつ(0.91), いくら(0.91), 価(0.91),
蒙る, 御免(0.91), 朗読(0.86), 礼(0.85), 面目(0.85), 賛成(0.85), 評判(0.85), 新体詩(0.84), 機(0.83), 駄弁(0.83), 都合(0.83), 立(0.82), 新年(0.82), 禅(0.82), 借りる(0.82), 理学(0.82), 次第(0.82), 報(0.82), 感謝(0.81), やって来る(0.81), 我々(0.81), 元気(0.81), 御礼(0.81), 願う(0.81), 学生(0.81), 時代(0.81), 催眠(0.81), 風流(0.81), 青年(0.81), 迎える(0.81), 一寸(0.80),
弄, 瘋癲(0.97), 意義(0.96), 碁(0.95), 死(0.94), 珍重(0.94), 業(0.94), 愚物(0.94), あぶない(0.94), 忠告(0.94), 出現(0.94), 感謝(0.94), 化(0.94), 組(0.94), 失敗(0.94), 閉口(0.94), 単簡(0.94), 外出(0.93), 自信(0.93), 発する(0.93), 欠伸(0.93), 鼻汁(0.93), 返答(0.93), 名づける(0.93), 手際(0.93), 機(0.93), 写す(0.93), 銘(0.93), 手出し(0.93), 露見(0.93), 形体(0.93),
土手, 通り過ぎる(0.95), 夜具(0.94), 裾(0.94), ランプ(0.93), 乗じる(0.93), 立て(0.93), 甕(0.93), 行儀(0.92), 床(0.92), 細長い(0.92), まり(0.92), 椀(0.92), 縮緬(0.92), くるむ(0.92), 吐き出す(0.92), 食卓(0.92), 渡る(0.91), 距離(0.91), 台(0.91), かえる(0.91), 格子(0.91), どく(0.91), 枕(0.91), 丁(0.91), 烈しい(0.91), 手持無沙汰(0.91), むく(0.91), 抱える(0.91), 杉(0.91), 行水(0.91),
天秤棒, 頭巾(0.95), 着(0.95), 土地(0.95), つづら(0.95), むく(0.94), 用意(0.94), 慾(0.94), 起こす(0.94), 一句(0.94), 度目(0.94), シャンパン(0.94), 捨てる(0.94), 濡れる(0.94), 淋しい(0.94), 粒(0.94), 弓(0.94), 倒れる(0.94), 昼(0.94), 泥(0.94), 左衛門(0.94), 一心不乱(0.94), 風呂敷(0.94), 大勢(0.94), どっか(0.94), 子供(0.94), 草履(0.94), まり(0.93), 甕(0.93), 大頭(0.93), ちまう(0.93),
式, 恥ずかしい(0.95), 淑女(0.94), 断定(0.94), 根気(0.94), 妨害(0.94), 体面(0.93), 始末(0.93), 影響(0.93), 困却(0.93), 権力(0.93), 訓戒(0.92), 利益(0.92), 手出し(0.92), 役に立つ(0.92), 興味(0.92), 曲(0.92), 弁解(0.92), ゆく(0.92), 余裕(0.92), 実行(0.91), 人望(0.91), 趣味(0.91), 愛(0.91), 了見(0.91), 辞職(0.91), 単簡(0.91), 利害(0.91), 死(0.91), 芸術(0.91), 魂胆(0.91),
世話, 頓(0.91), 恐れる(0.90), 迷う(0.90), 迷惑(0.90), 嫌い(0.90), あいつ(0.90), 意地(0.90), 職業(0.90), 女性(0.90), 取れる(0.89), 信用(0.89), 困却(0.89), 承る(0.89), 損(0.89), 届く(0.89), 凄い(0.89), 身の上(0.89), 免職(0.89), 結構(0.89), 某(0.89), 利口(0.89), 恥ずかしい(0.88), 団栗(0.88), 態度(0.88), 器用(0.88), 相談(0.88), 簡単(0.88), 同類(0.88), 独逸(0.88), 若い(0.88),
やめる, もらう(0.85), 了見(0.84), 義理(0.84), 呑気(0.84), 機嫌(0.83), やって来る(0.83), よす(0.83), 凄い(0.83), 休む(0.83), 日本語(0.83), 宜しい(0.82), 気が付く(0.82), 友人(0.82), こないだ(0.82), 浜田(0.82), 首縊り(0.82), 揉む(0.82), 下品(0.82), 訳す(0.82), 時候(0.82), 問う(0.82), 延びる(0.82), おくれる(0.81), 分かる(0.81), 道楽(0.81), じゅう(0.81), みんな(0.81), 状袋(0.81), 学生(0.81), 駄目(0.81),
弓, 土地(0.97), 淋しい(0.97), 頭巾(0.97), 倒れる(0.97), 捨てる(0.97), 同族(0.97), シャンパン(0.97), 組(0.97), 草履(0.96), まり(0.96), つくる(0.96), 多勢(0.96), 老(0.96), 当り前(0.96), 業(0.96), 両足(0.96), 驚かす(0.95), 不道徳(0.95), 園(0.95), 御両人(0.95), 意義(0.95), 甕(0.95), 溝(0.95), 煩悶(0.95), 伝(0.95), はずす(0.95), 孔子(0.95), 大勢(0.95), 乗せる(0.95), 汝(0.95),
入口, 枕元(0.94), 急ぐ(0.94), はたき(0.93), 恭しい(0.93), 屋根(0.93), 針箱(0.93), 懐(0.93), 手持無沙汰(0.93), 冷たい(0.93), 怒鳴る(0.92), 携える(0.92), ぶら下がる(0.92), 着く(0.92), 取り出す(0.92), 火鉢(0.92), 風呂敷(0.92), 天気(0.92), 曲る(0.92), 通り抜ける(0.92), 天井(0.92), 据える(0.92), 食卓(0.92), 命ずる(0.92), 枕(0.92), 箒(0.92), 座(0.92), 写真(0.91), 立ち上がる(0.91), 引き(0.91), 取り上げる(0.91),
分つ, いえる(0.94), 牡蠣(0.94), 真似る(0.93), 承る(0.93), 情けない(0.93), あいつ(0.93), 簡単(0.93), だまる(0.93), 羨ましい(0.93), 電話(0.93), 下す(0.92), 訳す(0.92), 人情(0.92), 黙る(0.92), 断わる(0.92), こないだ(0.92), 田舎(0.92), 笑(0.92), 楽(0.92), 女性(0.91), さい(0.91), 下品(0.91), 迷う(0.91), 曖昧(0.91), 道理(0.91), 有る(0.91), やれる(0.91), 心中(0.91), 問(0.91), 仕合せ(0.91),
特色, 困却(0.95), 忠告(0.93), 訓戒(0.93), 同類(0.93), つき(0.92), 重んずる(0.92), 人望(0.91), 役に立つ(0.91), 返答(0.91), 体面(0.91), 誇る(0.91), 説(0.91), 天才(0.91), 器用(0.91), ひやかす(0.91), 式(0.90), 単簡(0.90), 所作(0.90), やり込める(0.90), 敬服(0.90), 機(0.90), 犬(0.90), 頓(0.90), 団栗(0.90), 恥ずかしい(0.90), 詞(0.90), 芸術(0.90), 進行(0.90), 碁(0.90), 興味(0.90),
薬缶, 金縁(0.93), 毬栗(0.91), 真黒(0.91), 眼鏡(0.90), 出直す(0.90), 頬張る(0.90), 踊る(0.90), 静か(0.90), たまる(0.89), 悪寒(0.89), 初め(0.89), ける(0.89), 最中(0.89), 真赤(0.89), 倒れる(0.89), うたう(0.89), 眼前(0.89), 愛嬌(0.89), 不道徳(0.89), 薩摩芋(0.89), 冷たい(0.89), 変人(0.89), 横風(0.89), 容赦(0.89), 背中(0.89), 新しい(0.89), 覚める(0.88), 叔母さん(0.88), 箒(0.88), 隅(0.88),
会, 寺(0.83), 冬(0.81), 御免(0.80), 柄(0.80), 新体詩(0.79), 迎える(0.79), 宴会(0.79), 新年(0.78), 間に合う(0.78), 明日(0.78), 都合(0.77), 毎晩(0.77), 幕(0.77), 暮(0.77), 前歯(0.77), 中学校(0.76), 相(0.76), いっしょ(0.76), 朗読(0.76), 利かす(0.76), 蒙る(0.76), 紫(0.76), 礼(0.75), 招待(0.75), 首尾(0.74), 草(0.74), ひどい(0.74), 生意気(0.74), 合奏(0.74), 余所(0.74),
伝, 有様(0.96), 鷲(0.96), 銘(0.96), 意義(0.96), 塵(0.96), 叶う(0.96), 失う(0.96), 煩悶(0.96), 魔(0.95), 驚かす(0.95), 多勢(0.95), 皇(0.95), 蒟蒻(0.95), 弓(0.95), 好い加減(0.95), くるむ(0.95), 墓(0.95), 道具(0.95), 業(0.95), 碁盤(0.95), あぶない(0.95), 度胸(0.95), かる(0.95), 平(0.95), 組(0.95), 末(0.95), 碁(0.95), 立ち上がる(0.95), 途端(0.94), 瘋癲(0.94),
下宿, 石塔(0.90), 毎晩(0.89), 冬(0.89), 鰹節(0.89), コート(0.88), 来たす(0.88), 善(0.88), つづら(0.88), 一息(0.88), あした(0.88), 剣呑(0.87), 胴(0.87), 両足(0.87), 淋しい(0.87), 看板(0.87), 院(0.87), 古物(0.87), 立て(0.87), 運ぶ(0.87), 食わせる(0.87), 通(0.87), 勘定(0.87), 子供(0.87), 穿く(0.87), 文(0.87), 門(0.87), 全快(0.87), 庚申山(0.87), 容子(0.87), フロック(0.87),
告訴, 直る(0.94), こぼす(0.93), 胃病(0.93), やめ(0.92), 来たす(0.92), 永い(0.92), ちまう(0.91), 誂える(0.91), 落ち(0.91), かくす(0.91), だす(0.91), 取り上げる(0.91), じゅう(0.91), 古い(0.91), どっか(0.91), 釣れる(0.91), 形容(0.90), 河豚(0.90), 思案(0.90), 貴様(0.90), 品(0.90), 奮発(0.90), 元禄(0.90), せい(0.90), 電話(0.90), 尼(0.90), 濡れる(0.90), 張(0.90), ジャム(0.90), 懐(0.90),
鼠, 捕る(0.80), 造る(0.78), 野良(0.77), 愚(0.77), 近辺(0.76), 試し(0.76), 南無阿弥陀仏(0.76), 足りる(0.75), 夜中(0.75), 乱暴(0.75), 不都合(0.75), 生れる(0.75), 公徳(0.74), づく(0.74), 大切(0.74), いい加減(0.74), 庸(0.74), 一疋(0.74), 身の上(0.74), 鳴き声(0.74), 悲しい(0.74), あまり(0.73), 踊る(0.73), 獣(0.73), 芝居(0.73), 折る(0.73), 教師(0.73), 誇る(0.73), 取れる(0.73), 気分(0.73),
漢, ざる(0.91), 己(0.91), 鷲(0.91), これら(0.90), 形体(0.89), 稀(0.89), 講じる(0.89), こす(0.89), 狂人(0.89), 宗伯(0.89), 難い(0.88), 驚かす(0.88), 境遇(0.88), 日記(0.88), かご(0.88), 境(0.88), 一般(0.88), うる(0.88), 蒟蒻(0.88), 近い(0.88), 無意味(0.88), 将来(0.88), 達す(0.88), 法(0.88), 死骸(0.88), 少ない(0.87), 弾(0.87), 銘(0.87), 無用(0.87), 米(0.87),
分の, 短い(0.96), 坪(0.95), 尺(0.94), 寸(0.93), 垣根(0.93), 割る(0.93), 半(0.92), 一間(0.92), 個(0.92), 毎月(0.92), 敲く(0.92), 介(0.91), 春(0.91), 月(0.91), 隣る(0.91), 刈(0.90), 摩擦(0.90), 綿(0.90), 月給(0.90), 以前(0.90), 倍(0.90), 幅(0.89), どく(0.89), 遍(0.89), 去る(0.89), 重ねる(0.89), 亭主(0.89), 平均(0.89), 丁(0.89), 入(0.89),
